"page"	"term"	"title"	"authors"	"year"	"n_citations"	"abstract"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"The potential of the WRKY gene family for phylogenetic reconstruction: an example from the Malvaceae"	"JW Borrone, AW Meerow, DN Kuhn, BA Whitlock"	"2007"	29	"… The close relationship of these two genera has been recognized as they share similar 
floral and fruit morphology and are differentiated primarily by growth form and leaf …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"Preliminary studies on the structure of sepals and trichomatous nectaries in flowers of Tilia cordata Mill"	"A Konarska"	"2013"	10	"Tilia cordata is a good source of food attractants for bees. These insects are the primary 
pollinators of flowers of this species. Nectar is produced in the floral trichomatous nectaries …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"An updated phylogenetic classification of the flowering plants"	"RF Thorne"	"1992"	434	"This update of my classification of the flowering plants, or Angiospermae, is based upon 
about 800 pertinent books, monographs, and other botanical papers published since my last …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"Comparative floral ontogeny of single-flowered and double-flowered phenotypes of Alcea rosea (Malvaceae)"	"S Naghiloo, Z Esmaillou"	"2014"	5	"… The oldest primordia in each cluster often have fairly typical stamen morphology, but others 
… Nonetheless, this hypothesis is unlikely due to our knowledge of the morphology of closely …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"First Report of the Lanzones Scale Insect, Unaspis mabilis Lit & Barbecho (Hemiptera: Diaspididae), Infesting Cacao, Theobroma cacao L.[RESEARCH NOTE]"	"IL Lit Jr, BL Caoili, MT Caasi-Lit"	"2021"	NA	"… to the families Meliaceae and the subfamily Byttnerioideae of the Malvaceae must be done. 
… Research and Development: (1) Morphology-Based Diagnostics of Armored Scale Insects (…"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] The seed atlas of Pakistan-II Grewioideae"	"A Ather, R Abid, M Qasier"	"2009"	15	"Seed morphology of 20 taxa belonging to the subfamily Grewioideae of the extended family 
Malvaceae, was examined using light and scanning electron microscopy (SEM). Seed …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Phytochemical study of Waltheria viscosissima and evaluation of its larvicidal activity against Aedes aegypti"	"MDL Ferreira, DA Fernandes, FC Nunes"	"2019"	24	"The species Waltheria viscosissima A.St.–Hil, Malvaceae, which is known as ‘malva-branca', 
is traditionally used in the Brazilian northeast for the treatment of coughs. This research …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"Biogeography and Phylogenetics of the Hawaiian Endemic Hibiscadelphus, Hau Kuahiwi (Malvaceae)"	"SJ Champion"	"2020"	NA	"The endemic Hawaiian flowering plant genus Hibiscadelphus was described by Joseph F. 
Rock based on two species found on Hawaii island and one species from Maui in 1911. In …"
17	"intext:\"Byttnerioideae\" AND \"morphology\""	"Biogeographical History of the Yucatan Peninsula Endemic Flora (Spermatophyta) from a Phylogenetic Perspective1"	"CJ Ramírez-Díaz, IM Ramírez-Morillo"	"2023"	5	". The increased availability of phylogenetic, morphological, and geographic information from 
different biological groups has allowed for the testing of several scenarios on the origin and …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"Chemical composition and antimicrobial activity of different root extracts of Hermannia geniculata against human pathogens of medical importance"	"PJ Mojau"	"2015"	NA	"… bacteria are classified as either Gram positive or negative based on their morphology. … 
Hermannia geniculata is a species under the genus Hermannia of the subfamily Byttnerioideae …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Updates to Western Australia's vascular plant census for 2021"	"CM Parker, JM Percy-Bower"	"2022"	1	"… The Eriochilus dilatatus (Orchidaceae) complex in Western Australia: subspecies 
taxonomy is not supported by consistent differences in morphology or distribution. Australian …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"Bilabiate flowers: the ultimate response to bees?"	"C Westerkamp, R Classen-Bockhoff"	"2007"	161	"… As the overwhelming number of lip flowers with melittophilous specialization demonstrates, 
the latter are obviously a perfect response to the biology and morphology of bees. New …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"Flower structure and trends of evolution in eudicots and their major subclades1"	"PK Endress"	"2010"	141	"… There is an immense deficit of knowledge on systematic morphology. Knowledge of the 
structure of plant groups at the level of alpha taxonomy, which I call here alpha morphology, is of …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Malvoideae Burnett (Malvaceae) in the Environmental Protection Area Serra Branca, Raso da Catarina, Jeremoabo, Bahia, Brazil"	"JB Lima, AS Conceição"	"2016"	11	"Malvoideae is the largest subfamily of Malvaceae, including 110 genera and 1,730 species 
distributed predominantly in tropical regions, with a few representatives in temperate regions…"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Cacao genotypes cultivated in agroforestry systems in Bahia have wide genetic variability in morpho-agronomic characters"	"ME Georges, CAF Melo, MM Souza"	"2023"	NA	"Cacao fruits are agronomically important and show wide variability for several morphological 
descriptors. The present study aimed to characterize the genetic distance of 51 genotypes …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"Systematics, phytochemistry, biological activities and health promoting effects of the plants from the subfamily bombacoideae (family Malvaceae)"	"G Das, HS Shin, SS Ningthoujam, AD Talukdar"	"2021"	20	"Plants belonging to the subfamily Bombacoideae (family Malvaceae) consist of about 304 
species, many of them having high economical and medicinal properties. In the past, this plant …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"Seed beetles in the age of the molecule: recent advances on systematics and host-plant association patterns"	"GJ Kergoat, A Delobel, B Le Ru"	"2008"	26	"Our understanding of the evolution of host-plant associations in phytophagous insects has 
greatly benefited from the recent and continuous development of molecular phylogenetics …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Species"	"CB Rao, AJS Raju"	"2022"	1	"… family, Abutilon crispum, Malvastrum coromandelianum (sub-family Malvoideae), Grewia 
orbiculata (sub-family Grewioideae) and Melochia corchorifolia (sub-family Byttnerioideae) …"
18	"intext:\"Byttnerioideae\" AND \"morphology\""	"A review of the distribution of plasmodial and invasive tapeta in eudicots"	"CA Furness"	"2008"	30	"The tapetum, a nutritive tissue necessary for microspore development, is of two basic types 
in angiosperms: secretory and plasmodial. A third type, invasive nonsyncytial, is possibly …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"Biological and pharmacological activities of root extracts and isolated compounds of Hemannia Geniculata"	"LA Adeniran"	"2017"	NA	"… Hermannia geniculata is of the genus of flowering plant from the subfamily Byttnerioideae 
in the family Malnaceae. H. geniculata has been used in treatment of several diseases like …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"Diversity of Curculionoidea in humid rain forest canopies of Borneo: A taxonomic blank spot"	"P Sprick, A Floren"	"2018"	7	"From 1992 to 2009, 334 trees were sampled by insecticidal knockdown on Borneo, Malaysia. 
Here, we describe the taxonomic composition of the 9671 specimens and 1589 species …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] The Plant Press"	"GA Krupnick"	"GA Krupnick - Young - nmnh.typepad.com"	NA	"… Ashley Egan traveled to Salvador, Bahia, Brazil (10/20 – 11/2) to speak at the XI Latin 
American Botanical Congress, to attend the first official meeting of the Legume Morphology …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"Comparative Flower Development in Theobroma cacao Based on Temporal Morphological Indicators"	"JD Swanson, JE Carlson"	"2008"	32	"To set the stage for studies on gene regulation in the cocoa plant, a detailed analysis of the 
sequence of floral development in Theobroma cacao L. is presented and compared with a …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Genetic relationships among wild species of subfamily malvoideae in saudi arabia as inferred from SCoT and ISSR markers"	"KA Khalik, S Al-Ruzayza"	"2022"	NA	"Genetic investigation and phylogenetic analyses of 21 species, representing 8 genera of the 
subfamily Malvoideae from Saudi Arabia, were carried out by using Start Codon Targeted (…"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Western Australian plant taxa not collected for more than 50 years"	"N Gibson"	"2016"	3	"… In spikelet morphology it resembles T. salina Lazarides, which has more heavily resinous … 
A revision of species from the tribe Lasiopetaleae (Byttnerioideae: Malvaceae) with rostrate …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Dispersed cuticles from the Neogene Ruja lignite deposit near Legnica, Lower Silesia, Poland"	"G WOROBIEC, J KASIŃSKI"	"2009"	8	"… However, morphology of stomatal complex and structure of anticlinal cell walls are rather 
similar both in Araceophyllum and Dioscoreophyllum liblarense and confirm affinity of …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Structure, Development and Origin of Winged Stem in Lianescent Species of Grewia L. (Malvaceae) : a New Type of Cambial Variant"	"GM Gama"	"2020"	1	"… This distinctive stem morphology has not been reported elsewhere in Grewia and … 1.3) 
belonging to the subfamily Byttnerioideae … (Byttnerioideae) were selected as outgroups based on …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Who actually collected these specimens must remain a matter of conjecture, unless other evidence, in the form of contemporary annotations, occurs on the …"	"EC NELSON"	"EC NELSON - BOTHALIA - opus.sanbi.org"	NA	"… confusus Wild are very similar in floral and vegetative morphology and … Phylogenetic 
relationships and floral evolution of the Byttnerioideae (‘Sterculiaceae’or Malvaceae sl) based on …"
19	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Complete chloroplast genomes of three important species, Abelmoschus moschatus, A. manihot and A. sagittifolius: Genome structures, mutational …"	"J Li, G Ye, H Liu, Z Wang"	"2020"	14	"Abelmoschus is an economically and phylogenetically valuable genus in the family Malvaceae. 
Owing to coexistence of wild and cultivated form and interspecific hybridization, this …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Vale Lorraine Cobb April 12th 1951–April 5th 2008"	"K Shepherd, R Butcher"	"2008"	2	"I would like to tell you all a little about our memories of Lori on behalf of the group of women 
referred to in some circles as the ‘Herbarium Harem’. We are a close group of friends that …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogeny, Molecular Biology"	"P Jolivet, J Santiago-Blay, M Schmitt"	"2014"	NA	"More than 30 years of genetic and more recently phylogenetic research on the genus 
Timarcha Latreille, 1829 have shed some light onto the diversification processes leading to …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Molecular Evolution Following Allopolyploidization in Gossypium"	"JL Conover"	"2021"	NA	"Whole genome duplication (polyploidy) is an important mechanism of speciation and 
generator of novel genetic and phenotypic diversity, particularly in plants. While over 400 …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Cacao (Theobroma cacao L.) Breeding"	"F Bekele, W Phillips-Mora"	"2019"	28	"… of suitable parents for cacao breeding traditionally depended on the availability of 
characterization/evaluation data, where attributes are easy to score by observation of morphology or …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Seringia revised to include Keraudrenia (Lasiopetaleae: Malvaceae sl)"	"CF Wilkins, BA Whitlock"	"2016"	6	"… Gay, and this nomenclature is used in the following discussion of morphology and anatomy. 
Both generic names are available because they were published in the same manuscript (…"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Updates to Western Australia's vascular plant census for 2020"	"JM Percy-Bower, CM Parker"	"2021"	1	"… anthers: morphology and molecular phylogenetic relationships. PhytoKeys 471: 193–207. … 
Thomasia julietiae(Malvaceae: Byttnerioideae), a delicate new species with horticultural …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Flower development in Theobroma cacao L.: an assessment of morphological and molecular conservation of floral development between Arabidopsis thaliana and …"	"JD Swanson"	"2005"	14	"Comparative anatomical and developmental studies on Theobroma cacao L. flower 
development were conducted to provide insight into the general mechanisms that control floral …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Useful plants of the tropics and subtropics and ethnocultural traditions of their use"	"E Muratova, T Sedelnikova"	"2020"	NA	"Aim. The article aims to make a review of useful plants in the tropics and subtropics in the light 
of the ethnocultural traditions of different people; give information on their use; present the …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Isolation, characterisation and in vitro biological activity of bioactive principles in Hermannia geniculata Eckl. & Zeyh. leaf extracts"	"PJ Mojau"	"2017"	1	"Hermannia geniculata has been used widely as traditional medicine for treatment against 
infectious human pathogens. The aim of the present study was to determine the phytochemical …"
20	"intext:\"Byttnerioideae\" AND \"morphology\""	"Multiple trans-Torres Strait colonisations by tree frogs in the Litoria caerulea group, with the description of a new species from New Guinea"	"PM Oliver, EN Rittmeyer, J Torkkola"	"2021"	3	"… Due to small sample sizes and uncertain phylogenetic affinities of many animals examined 
for morphology, we did not undertake further analyses to look for evidence of differentiation …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Spatial and temporal distribution of floral resources used by pollinators in a semi-deciduous seasonal forest"	"ER Ono, A Valentin-Silva, E Guimar"	"2020"	1	"Pollination is a fundamental process in the life cycle of many plant species because it is 
related to the maintenance of new generations and consequent perpetuation of most of the …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"20.1 Dimocarpus longan Longan and Litchi chinensis Litchi"	"RE Litz, S Raharjo"	"RE Litz, S Raharjo - General Editor: Gabrielle J. Persley, The Doyle … - cabidigitallibrary.org"	NA	"… The trees have similar morphology. The bark of longan is corky; leaves of both species are 
compound: 2-4 (-6)-jugate and 2-4 (-5)-jugate for longan and litchi, respectively. Flowers are …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"A restriction-site-associated DNA (RAD) linkage map, comparative genomics and identification of QTL for histological fibre content coincident with those for retted bast …"	"A Kundu, A Chakraborty, NA Mandal, D Das"	"2015"	45	"… sequence homology) that belongs to the subfamily Byttnerioideae. Based on sequences of 
the chloroplast ndhF gene, Grewioideae and Byttnerioideae are found to be most related and …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"Chromosome Information Service (CIS), XXVI"	"B Gajra"	"2014"	1	"… The plants from all studied populations have similar chromosome morphology. … the lowest 
numbers in the Malvoideae and Byttnerioideae and the highest in Tilioideae. Chromosome …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Garden Plants Taxonomy: Volume 2: Angiosperms (Eudicots)"	"B Dehgan"	"2023"	NA	"… Recent phylogenetic (DNA-based) reorganization of higher plants has revolutionized 
taxonomic treatments of all biological entities, even when morphology does not completely agree …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] What is being published on floristics? an overview of floristic studies carried out in the Espinhaço Range"	"RBP Almeida, BM Murer, PT Sano"	"2023"	NA	"The campo rupestre in the Espinhaço Range is subject of many floristic studies due to its 
high rates of species diversity and endemism. These studies are made up of critical, easily …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Climate, leaves, and the legacy of two giants"	"RJ Burnham, GS Tonkovich"	"2011"	10	"Paleobotanical novices have no simple script to follow for using angiosperm fossil floras to 
test climatic hypotheses in the geological record. Many methods and approaches have been …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] A monographic revision of Arctotis is being under-taken by the first author at Rhodes University, to resolve the taxonomic disarray within the genus. In …"	"A DECURRENS, A MERXMUELLERI, A SCULLYI"	"A DECURRENS, A MERXMUELLERI, A SCULLYI - BOTHALIA - academia.edu"	NA	"… They are consistent in all important details (particularly involucral bract and leaf morphology) 
with the illustration and description of A. decurrens in Jacquin (1797). Therefore in all …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"Fractional abundance and the ecology of community structure"	"CK Kelly, MG Bowler, JB Joy, JN Williams"	"2010"	5	"The ecological principle of limiting similarity dictates that species similar in resource 
requirements will compete, with the superior eventually excluding the inferior competitor from the …"
21	"intext:\"Byttnerioideae\" AND \"morphology\""	"Development and evaluation of EST-SSR markers in Sorbus pohuashanensis (Hance) Hedl. and their application to other Sorbus species"	"Y Wu, R He, Y Lu, Z Zhang, L Yang, X Guan, R Zhang"	"2020"	3	"… wilsoniana morphology was affected by the environment and its leaves became pinnately 
compound over time. Nevertheless, S. wilsoniana was still closely related to the other …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] speciesLink: rich data and novel tools for digital assessments of biodiversity"	"DAL Canhos, EAB Almeida, AL Assad"	"2022"	10	"… Biodiversity databases hold rich and detailed information on the distribution, morphology, 
and other … research blending morphology, geology, and ecology, among other data sources. …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] First record of Dittrichia graveolens (Asteraceae, Inuleae) in Chile"	"L Santilli, N Lavandero, O Montes"	"2021"	2	"… SPECIES ENDEMIC TO BRAZILIAN CERRADO (MALVACEAE SL, BYTTNERIOIDEAE, 
HERMANNIEAE) … Terminology describing plant morphology follows Beentje (2016 ). …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic signal in pollination networks varies in strength with pollinator type and community plant species richness"	"CM Moray"	"2009"	NA	"Phylogenetic constraints have been hypothesized to influence the complex network structure 
found in plant-pollinator communities. Here, I develop and test a conceptual model of …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"Application of omics technologies in Rubber, Cocoa, and Betel nut"	"R Karumamkandathil, TK Uthup, J Jacob"	"2022"	NA	"Plants are the prime source of sustainability of mankind on earth. Due to the sessile nature 
of plants, they are compelled to expose themselves to different environmental vagaries such …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] of Papers Page"	"DDDJA Dave, K Shah"	"2015"	NA	"Plants have always been a basis for the traditional medicine systems as they have 
therapeutic applications like anti-tumor, anti-viral, anti-inflammatory, anti-malarial, anti-oxidative, …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Diseases of tropical perennial crops: challenging problems in diverse environments"	"RC Ploetz"	"2007"	135	"The world’s oldest ecosystems are found in the tropics. They are diverse, highly evolved, but 
barely understood. Diseases that impact crops in these regions can be significant contraints …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Determination of prevalence and reservoir weed species of tomato spotted wilt tospovirus-tswv on peppers grown in greenhouses in Kumluca district of Antalya …"	"S Yeşil, Ö Gömlekli"	"2021"	2	"Pepper (Capsicum annuum L.) is a member of the Capsicum genus of the Solanaceae 
family, and is known as an annual plant in warm climates and a perennial plant in tropical …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"Genetic resources of cocoa (Theobroma cacao L.) and their utilization-An Appraisal"	"SK Malhotra, SE Apshara"	"2017"	17	"Cocoa (Theobroma cacao L.) is an important plantation crop adapted as a mixed crop in 
palm based cropping systems of India which effectively utilised the land, air and root space. …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] MALVACEAE"	"MJ Moeaha"	"2006"	2	"… confusus Wild are very similar in floral and vegetative morphology and … Phylogenetic 
relationships and floral evolution of the Byttnerioideae …"
22	"intext:\"Byttnerioideae\" AND \"morphology\""	"Genomic designing for biotic stress resistant cocoa tree"	"F dos Santos Menezes, JJ Mucherino-Muñoz"	"2022"	NA	"Cocoa tree (Theobroma cacao L.) is cultivated mainly in tropical regions and produces beans 
that are used for chocolate manufacture. Worldwide, cocoa bean production is threatened …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"Moxalactam as a counter-selection antibiotic for Agrobacterium-mediated transformation and its positive effects on Theobroma cacao somatic embryogenesis"	"GA De Mayolo, SN Maximova, S Pishak, MJ Guiltinan"	"2003"	46	"… In all experiments, embryo production and morphology was observed and recorded for 
the duration of the experiments. The total numbers of embryos present in the cultures were …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"Piper (Piperaceae) in eastern Northeast Brazil"	"A Melo, M Alves"	"2021"	3	"… We present a synopsis with comments about morphology, habitat and phenology. … Waltheria 
glabribracteata (Byttnerioideae, Malvaceae), a new species with elongate-plumose stigmas …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"Rediscovery of Prosthechea sessiliflora (Orchidaceae, Laeliinae) in the Brazilian Cerrado domain provides valuable taxonomic data and allows nomenclatural …"	"TL VIEIRA, ISAL DE MORAIS"	"2023"	2	"… Herein, we present an updated morphological description of the species, together with a 
composite digital plate highlighting its morphology, perform a lectotypification and epitypification…"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"[CITATION][C] Microsporogenesis and ultrastructure of pollen grains in Thebroma cacao (Malvacea)."	"EJ Rincón-Barón, GA Torres-Rodríguez, VL Cuarán"	"EJ Rincón-Barón, GA Torres-Rodríguez, VL Cuarán"	NA	""
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"Synopsis of Abutilon (Malvoideae, Malvaceae) in the state of São Paulo, Brazil"	"C Takeuchi, GL Esteves"	"2012"	11	"Abutilon is represented in the state of São Paulo by 18 species mainly distributed in the 
Atlantic Forest, especially in dense rainforest. This work includes an identification key, …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Phylogenetic analyses in the phlox family (Polemoniaceae)"	"TL Weese"	"2004"	1	"… Although floral morphology is variable in the n = 7 Loeselieae, floral morphological evolution 
within this tribe has not been explored in a phylogenetic context. Chapter 3 incorporates …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"Appendix B: Microorganisms Associated with Stingless Bees or Used to Test Antimicrobial Activity (AM)"	"P Vit"	"P Vit - Pot-Pollen in Stingless Bee Melittology - Springer"	NA	"1 Note: List of Plant Taxa used by Bees—Plants used as source of nectar (N), pollen (P), 
trichomes (T) or resin (R), harvested from corbiculae (C), to make honey (H), build nests (B), …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"Floral biology and phenological overlap of angiosperms from a flooded forest, lake Maracaibo basin, Venezuela"	"Y Barrios, N Ramirez"	"2020"	NA	"BARRIOS, Yeni y RAMIREZ, Nelson. Floral biology and phenological overlap of angiosperms 
from a flooded forest, lake Maracaibo basin, Venezuela. Act. Bot. Mex [online]. 2020, n. 127…"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Nectaries and nectar"	"SW Nicolson, M Nepi, E Pacini"	"2007"	436	"… Plant diversity is often linked to adaptive radiation of pollination systems, and the variety 
of nectar-secreting tissues is to some extent associated with the varying morphology and …"
23	"intext:\"Byttnerioideae\" AND \"morphology\""	"New narrowly distributed species of Myrcia sl (Gomidesia clade, Myrtaceae) from the Atlantic Forest of southeastern Brazil"	"BS Amorim, M Alves"	"2018"	NA	"Two new species of Myrcia sl from the Atlantic Forest of southeastern Brazil are here 
described and illustrated. Myrcia longisepala and M. rogersiana share morphological features …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"Theobroma cacao cacao."	"A Figueira, DC Scotton"	"2020"	1	"This chapter focuses on the origin, geographical distribution, morphological, physiological 
and phenological characteristics, cultivation history, breeding, vegetative propagation …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"Myrcia sect. Calyptranthes (Myrtaceae) from the Atlantic Forest, Brazil"	"AR Lourenco, GP Burton, M Alves, E Lucas"	"2020"	8	"Myrcia sect. Calyptranthes is a section of the Neotropical genus Myrcia ranging from Mexico 
and the Caribbean to northern Argentina with ca. 260 known species. In Brazil ca. 78 …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"Theobroma cacao cacao."	"A Figueira, L Alemanno"	"2005"	19	"This chapter discusses the botany and history, importance, breeding and genetics, 
molecular genetics, micropropagation, somatic cell genetics, genetic manipulation and …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Commersonia rosea (Malvaceae sl: Lasiopetaleae): a new, rare fire-ephemeral species from the upper Hunter Valley of New South Wales"	"SAJ Bell, LM Copeland"	"2004"	7	"Copel., a fire-ephemeral species from the Central Western Slopes of New South Wales is 
described as new. Notes on its distribution, ecology and conservation status are given. The …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Genetic engineering of Theobroma cacao and molecular studies on cacao defense responses"	"GA de Mayolo"	"2003"	5	"Theobroma cacao, a tropical evergreen tree, holds great economic importance for many small 
crop farmers in developing countries. Cultivated on over five million hectares worldwide, …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"Bombacoideae, Byttnerioideae, Grewioideae e Helicterioideae (Malvaceae sl) na Ecorregião Raso da Catarina, Bahia, Brasil"	"JB Lima, MG Bovini, AS Conceição"	"2019"	NA	"This work presents a floristic survey of the subfamilies Bombacoideae, Byttnerioideae, 
Grewioideae and Helicterioideae (Malvaceae sl) in the Raso da Catarina Ecoregion (RCE), Bahia…"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"Desbravando os cacaus: sistemática e evolução de Theobroma L. e Herrania Goudot (Malvaceae, Byttnerioideae)"	"MC Silva"	"2023"	2	"… Specifically, I aimed at (1) revisit the morphology and distribution of current taxa, reevaluating 
taxonomic delimitations at species levels; (2) look for morphological synapomorphies and …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"Bombacoideae, Byttnerioideae, Grewioideae and Helicterioideae (Malvaceae sl) in the Raso da Catarina Ecoregion, Bahia, Brazil."	"J Batista Lima, M Giuseppe Bovini"	"2019"	NA	"Este trabalho apresenta o levantamento florístico das subfamílias Bombacoideae, Byttnerioideae, 
Grewioideae e Helicterioideae (Malvaceae sl) na Ecorregião Raso da Catarina, Bahia…"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Melochia L.(Byttnerioideae, Malvaceae) na região sudeste do Brasil"	"VM Gonçalez"	"2013"	1	"… Melochia pertence à Byttnerioideae, uma das nove subfamílias de Malvaceae sl Em Byttnerioideae, o gênero está situado em Hermannieae, a única tribo monofilética da subfamília …"
24	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Análisis morfológico y morfométrico del polen de Corchorus, Heliocarpus, Luehea, Mollia y Triumfetta (Malvaceae, Grewioideae) en la región austral de …"	"MV Mambrín, MM Avanza"	"2010"	21	"… de las especies de Grewioideae y Byttnerioideae, pero los … have taxonomic value, pollen morphology of 16 species of the … like most species of Grewioideae and Byttnerioideae, but the …"
25	"intext:\"Byttnerioideae\" AND \"morphology\""	"[CITATION][C] New studies on pollen of pre-Quaternary Malvaceae from the subfamilies tilioideae, helicteroideae and bombacoideae"	"W Krutzsch"	"2004"	NA	""
25	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Micromorfología y ultraestructura de las anteras y los granos de polen en diez genotipos élite de Theobroma cacao (Malvaceae)"	"EJ Rincón-Barón, DA Zarate"	"2021"	8	"… (Malvaceae-Byttnerioideae) muestran una gran variabilidad en las aberturas (colporados, 
pantoporados y pantocolporados) pero no se observan granos colpados. De acuerdo a …"
25	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Microsporogénesis y ultraestructura de los granos de polen en la planta del cacao, Theobroma cacao (Malvaceae)"	"EJ Rincón-Barón, GA Torres-Rodríguez"	"2023"	NA	"… En general los granos de polen de la subfamilia Byttnerioideae se caracterizan por la 
presencia de aberturas simples: poros, o compuestas: colporos, y por una ornamentación …"
25	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Palinologia de espécies de Grewioideae (Malvaceae sensu lato) ocorrentes no estado do Rio de Janeiro, Brasil"	"VHR Abreu, GRM Vieira, RMBS Souza"	"2020"	2	"… The objective of this study was to characterize the pollen morphology … As subfamílias 
Grewioideae e Byttnerioideae formam a … Em contraste, Byttnerioideae apresenta estaminódios …"
25	"intext:\"Byttnerioideae\" AND \"morphology\""	"Morfología y biología del chinche (monalonion sp.) del cacao (theobroma cacaol.) en amazonas"	"G Rabanal Diaz"	"2023"	2	"En el distrito de Bagua Grande, provincia de Utcubamba, región Amazonas, teniendo como 
objetivo determinar la morfología y biología del chinche Monalonion sp. del cacao (…"
